"Open";"High";"Low";"Close";"Volume";"Day"
"2009-07-21";0.434403669724771;0.447302674192653;0.405981601778785;0.423141816890152;37092400;2009-07-21
"2009-07-22";0.421019983162745;0.712342941611234;0.404022737210319;0.433337885201875;37375100;2009-07-22
"2009-07-23";0.431146585354917;0.454835766423358;0.413579175704989;0.433178715210922;34325900;2009-07-23
"2009-07-24";0.432673567499675;0.438929120035111;0.407424672627876;0.415236787920384;33941650;2009-07-24
"2009-07-27";0.411688257242276;0.424270851100119;0.399381188118812;0.414194915254237;25087350;2009-07-27
"2009-07-28";0.412251586067812;0.430030421555845;0.393435812214375;0.407289879931389;23920050;2009-07-28
"2009-07-29";0.407809110629067;0.416539317993276;0.381856540084388;0.391446808510638;33958000;2009-07-29
"2009-07-30";0.390860579366424;0.413647959183673;0.371942127110789;0.395283479960899;36770200;2009-07-30
"2009-07-31";0.391565052919635;0.416490486257928;0.381544528954887;0.401444576681578;29687800;2009-07-31
"2009-08-03";0.402455384365218;0.416309538386188;0.384175738724728;0.395266179744561;35173350;2009-08-03
"2009-08-04";0.396501686406777;0.408392506117864;0.384466019417476;0.391219891219891;22990600;2009-08-04
"2009-08-05";0.389672642244739;0.405114083398898;0.368305318474898;0.3829011966861;37925850;2009-08-05
"2009-08-06";0.379545454545455;0.404259514888582;0.365322310356385;0.393317496787258;38990850;2009-08-06
"2009-08-07";0.391905617626377;0.415462427745665;0.372675736961451;0.397703386531724;37575350;2009-08-07
"2009-08-10";0.397018178987115;0.420706385428231;0.386061776061776;0.411277890466531;32893550;2009-08-10
"2009-08-11";0.410986610574006;0.433994095318431;0.39688082860431;0.422250316055626;35219000;2009-08-11
"2009-08-12";0.423746768930887;0.446112577337429;0.404296157144607;0.420966420966421;41757000;2009-08-12
"2009-08-13";0.420561506004544;0.442570247588827;0.411492418196329;0.430635719841172;37121900;2009-08-13
"2009-08-14";0.430674846625767;0.444873949579832;0.416952296463567;0.433559731655486;19527350;2009-08-14
"2009-08-17";0.436017130620985;0.454660831509847;0.423896434634975;0.441412380122057;26697450;2009-08-17
"2009-08-18";0.438976208880873;0.45929203539823;0.426171642425789;0.444857442714711;20357200;2009-08-18
"2009-08-19";0.443417512800486;0.461007864329335;0.428691983122363;0.443305519081706;25090850;2009-08-19
"2009-08-20";0.439349729053772;0.468092343012627;0.433796544472393;0.450927835051546;37169250;2009-08-20
